Node1,Node2
AP_Anantapur,AP_Chittoor
AP_Anantapur,AP_Kurnool
AP_Anantapur,AP_Y.S.R. Kadapa
AP_Anantapur,KA_Ballari
AP_Anantapur,KA_Chikkaballapura
AP_Anantapur,KA_Chitradurga
AP_Anantapur,KA_Tumakuru
AP_Chittoor,AP_S.P.S. Nellore
AP_Chittoor,AP_Y.S.R. Kadapa
AP_Chittoor,KA_Chikkaballapura
AP_Chittoor,KA_Kolar
AP_Chittoor,TN_Krishnagiri
AP_Chittoor,TN_Thiruvallur
AP_Chittoor,TN_Vellore
AP_East Godavari,AP_Visakhapatnam
AP_East Godavari,AP_West Godavari
AP_East Godavari,CT_Sukma
AP_East Godavari,OR_Malkangiri
AP_East Godavari,TG_Bhadradri Kothagudem
AP_Guntur,AP_Krishna
AP_Guntur,AP_Prakasam
AP_Guntur,TG_Nagarkurnool
AP_Guntur,TG_Nalgonda
AP_Guntur,TG_Suryapet
AP_Krishna,AP_West Godavari
AP_Krishna,TG_Khammam
AP_Krishna,TG_Suryapet
AP_Kurnool,AP_Prakasam
AP_Kurnool,AP_Y.S.R. Kadapa
AP_Kurnool,KA_Ballari
AP_Kurnool,KA_Raichur
AP_Kurnool,TG_Jogulamba Gadwal
AP_Kurnool,TG_Nagarkurnool
AP_Kurnool,TG_Wanaparthy
AP_Prakasam,AP_S.P.S. Nellore
AP_Prakasam,AP_Y.S.R. Kadapa
AP_Prakasam,TG_Nagarkurnool
AP_S.P.S. Nellore,AP_Y.S.R. Kadapa
AP_S.P.S. Nellore,TN_Thiruvallur
AP_Srikakulam,AP_Vizianagaram
AP_Srikakulam,OR_Gajapati
AP_Srikakulam,OR_Ganjam
AP_Srikakulam,OR_Rayagada
AP_Visakhapatnam,AP_Vizianagaram
AP_Visakhapatnam,OR_Koraput
AP_Visakhapatnam,OR_Malkangiri
AP_Vizianagaram,OR_Koraput
AP_Vizianagaram,OR_Rayagada
AP_West Godavari,TG_Bhadradri Kothagudem
AP_West Godavari,TG_Khammam
AR_Anjaw,AR_Changlang
AR_Anjaw,AR_Lohit
AR_Changlang,AR_Lohit
AR_Changlang,AR_Namsai
AR_Changlang,AR_Tirap
AR_Changlang,AS_Tinsukia
AR_East Kameng,AR_Kurung Kumey
AR_East Kameng,AR_Pakke Kessang
AR_East Kameng,AR_Papum Pare
AR_East Kameng,AR_Tawang
AR_East Kameng,AR_West Kameng
AR_East Siang,AR_Lower Dibang Valley
AR_East Siang,AR_Lower Siang
AR_East Siang,AR_Siang
AR_East Siang,AR_Upper Siang
AR_East Siang,AS_Dhemaji
AR_East Siang,AS_Tinsukia
AR_Kamle,AR_Kra Daadi
AR_Kamle,AR_Lower Siang
AR_Kamle,AR_Lower Subansiri
AR_Kamle,AR_Papum Pare
AR_Kamle,AR_Upper Subansiri
AR_Kamle,AS_Dhemaji
AR_Kamle,AS_Lakhimpur
AR_Kra Daadi,AR_Kurung Kumey
AR_Kra Daadi,AR_Lower Subansiri
AR_Kra Daadi,AR_Papum Pare
AR_Kra Daadi,AR_Upper Subansiri
AR_Kurung Kumey,AR_Papum Pare
AR_Kurung Kumey,AR_Upper Subansiri
AR_Lepa Rada,AR_Lower Siang
AR_Lepa Rada,AR_Upper Subansiri
AR_Lepa Rada,AR_West Siang
AR_Lohit,AR_Lower Dibang Valley
AR_Lohit,AR_Namsai
AR_Lohit,AS_Tinsukia
AR_Longding,AR_Tirap
AR_Longding,AS_Charaideo
AR_Longding,AS_Dibrugarh
AR_Longding,NL_Mon
AR_Lower Dibang Valley,AR_Upper Dibang Valley
AR_Lower Dibang Valley,AR_Upper Siang
AR_Lower Dibang Valley,AS_Dhemaji
AR_Lower Dibang Valley,AS_Tinsukia
AR_Lower Siang,AR_Siang
AR_Lower Siang,AR_Upper Subansiri
AR_Lower Siang,AR_West Siang
AR_Lower Siang,AS_Dhemaji
AR_Lower Subansiri,AR_Papum Pare
AR_Namsai,AS_Tinsukia
AR_Pakke Kessang,AR_Papum Pare
AR_Pakke Kessang,AR_West Kameng
AR_Pakke Kessang,AS_Biswanath
AR_Pakke Kessang,AS_Sonitpur
AR_Papum Pare,AS_Biswanath
AR_Papum Pare,AS_Lakhimpur
AR_Shi Yomi,AR_Siang
AR_Shi Yomi,AR_Upper Siang
AR_Shi Yomi,AR_Upper Subansiri
AR_Shi Yomi,AR_West Siang
AR_Siang,AR_Upper Siang
AR_Siang,AR_West Siang
AR_Tawang,AR_West Kameng
AR_Tirap,AS_Dibrugarh
AR_Tirap,AS_Tinsukia
AR_Upper Dibang Valley,AR_Upper Siang
AR_Upper Subansiri,AR_West Siang
AR_West Kameng,AS_Sonitpur
AR_West Kameng,AS_Udalguri
AS_Baksa,AS_Barpeta
AS_Baksa,AS_Chirang
AS_Baksa,AS_Darrang
AS_Baksa,AS_Kamrup
AS_Baksa,AS_Nalbari
AS_Baksa,AS_Udalguri
AS_Barpeta,AS_Bongaigaon
AS_Barpeta,AS_Chirang
AS_Barpeta,AS_Goalpara
AS_Barpeta,AS_Kamrup
AS_Barpeta,AS_Nalbari
AS_Biswanath,AS_Golaghat
AS_Biswanath,AS_Lakhimpur
AS_Biswanath,AS_Nagaon
AS_Biswanath,AS_Sonitpur
AS_Bongaigaon,AS_Chirang
AS_Bongaigaon,AS_Dhubri
AS_Bongaigaon,AS_Goalpara
AS_Bongaigaon,AS_Kokrajhar
AS_Cachar,AS_Dima Hasao
AS_Cachar,AS_Hailakandi
AS_Cachar,AS_Karimganj
AS_Cachar,ML_East Jaintia Hills
AS_Cachar,MN_Jiribam
AS_Cachar,MN_Pherzawl
AS_Cachar,MN_Tamenglong
AS_Cachar,MZ_Aizawl
AS_Cachar,MZ_Kolasib
AS_Charaideo,AS_Dibrugarh
AS_Charaideo,AS_Sivasagar
AS_Charaideo,NL_Mon
AS_Chirang,AS_Kokrajhar
AS_Darrang,AS_Kamrup
AS_Darrang,AS_Kamrup Metropolitan
AS_Darrang,AS_Morigaon
AS_Darrang,AS_Sonitpur
AS_Darrang,AS_Udalguri
AS_Dhemaji,AS_Dibrugarh
AS_Dhemaji,AS_Lakhimpur
AS_Dhemaji,AS_Tinsukia
AS_Dhubri,AS_Goalpara
AS_Dhubri,AS_Kokrajhar
AS_Dhubri,AS_South Salmara Mankachar
AS_Dhubri,WB_Cooch Behar
AS_Dibrugarh,AS_Lakhimpur
AS_Dibrugarh,AS_Majuli
AS_Dibrugarh,AS_Sivasagar
AS_Dibrugarh,AS_Tinsukia
AS_Dima Hasao,AS_Hojai
AS_Dima Hasao,AS_Karbi Anglong
AS_Dima Hasao,AS_West Karbi Anglong
AS_Dima Hasao,ML_East Jaintia Hills
AS_Dima Hasao,ML_West Jaintia Hills
AS_Dima Hasao,MN_Tamenglong
AS_Dima Hasao,NL_Peren
AS_Goalpara,AS_Kamrup
AS_Goalpara,AS_South Salmara Mankachar
AS_Goalpara,ML_North Garo Hills
AS_Goalpara,ML_West Garo Hills
AS_Golaghat,AS_Jorhat
AS_Golaghat,AS_Karbi Anglong
AS_Golaghat,AS_Lakhimpur
AS_Golaghat,AS_Majuli
AS_Golaghat,AS_Nagaon
AS_Golaghat,NL_Dimapur
AS_Golaghat,NL_Kohima
AS_Golaghat,NL_Wokha
AS_Hailakandi,AS_Karimganj
AS_Hailakandi,MZ_Kolasib
AS_Hailakandi,MZ_Mamit
AS_Hojai,AS_Karbi Anglong
AS_Hojai,AS_Nagaon
AS_Hojai,AS_West Karbi Anglong
AS_Jorhat,AS_Majuli
AS_Jorhat,AS_Sivasagar
AS_Jorhat,NL_Mokokchung
AS_Jorhat,NL_Wokha
AS_Kamrup,AS_Kamrup Metropolitan
AS_Kamrup,AS_Nalbari
AS_Kamrup,ML_North Garo Hills
AS_Kamrup,ML_Ribhoi
AS_Kamrup,ML_West Khasi Hills
AS_Kamrup Metropolitan,AS_Morigaon
AS_Kamrup Metropolitan,ML_Ribhoi
AS_Karbi Anglong,AS_Nagaon
AS_Karbi Anglong,NL_Dimapur
AS_Karbi Anglong,NL_Peren
AS_Karimganj,MZ_Mamit
AS_Karimganj,TR_North Tripura
AS_Kokrajhar,WB_Alipurduar
AS_Kokrajhar,WB_Cooch Behar
AS_Lakhimpur,AS_Majuli
AS_Majuli,AS_Sivasagar
AS_Morigaon,AS_Nagaon
AS_Morigaon,AS_Sonitpur
AS_Morigaon,AS_West Karbi Anglong
AS_Morigaon,ML_Ribhoi
AS_Nagaon,AS_Sonitpur
AS_Nagaon,AS_West Karbi Anglong
AS_Sivasagar,NL_Longleng
AS_Sivasagar,NL_Mokokchung
AS_Sivasagar,NL_Mon
AS_Sonitpur,AS_Udalguri
AS_South Salmara Mankachar,ML_North Garo Hills
AS_South Salmara Mankachar,ML_South West Garo Hills
